origin_tweet_full_text,retweet_count
"Saat Covid-19 Tembus 1 Juta  -Jangan lagi plin plan terhadap kebijakan -Perbaiki koordinasi kebijakan -Kawal aplikasi kebijakan sampai di lapangan -Pembatasan sosial berskala keluarga  Kuatkan ikhtiar, ikutkan doa  @FPKSDPRRI  #vaksìncovid19 #vaksinhalal #klasterkeluarga https://t.co/YSzOcajqII",4
Cause of death ayah  dia tulis covid 19 4A.  Tp da seminggu ayah meninggal xde pon dlm senarai 700+ kematian covid tu. Cuba bayangkn berapa ramai lg yg x masuk dlm statistic.,4
Mendagri Tito Karnavian mengusulkan agar dana insentif daerah (DID) diberikan untuk pemerintah daerah (pemda) yang berprestasi dalam program vaksinasi Covid-19.  @kemendagri https://t.co/xBgkLMCPGu,4
"Terima Vaksin Taati Prokes #PecatASNTerpaparRadikal https://t.co/jvCeqjfExM seluruh lapisan masyarakat untuk ikut mensukseskan Program Pemerintah ini, sehingga dapat segera memutus mata rantai covid 19-menerapkan 5M (Memakai",4
Patroli satgas covid 19 meninda warga malang yang tidak memakai masker 😷👍 cc @infomalang @mahasiswamlg  Patuhi prokes sam https://t.co/xAeCfO84k7,4
"kecepatan menjadi kunci dalam program vaksinasi Covid-19 untuk memunculkan kekebalan kelompok atau herd immunity. Oleh karena itu, Mendagri Tito mengapresiasi pemerintah daerah yang proaktif, cepat dan tanggap dalam melakukan vaksinasi.  @kemendagri https://t.co/882rcqcSkm",4
Presiden Jokowi menyatakan akan menjadi orang pertama yang disuntikkan vaksin Covid-19 #VaksinasiMelawanPandemi https://t.co/xrin4JQkCc,4
Untuk para sahabat twitter domisili Jogja dan sekitarnya mohon bisa memberikan doa dan sumbangan sperti yg dibutuhkan utk kesembuhan Biarawati Valentina CB Panti Rapih Jogjakarta 🙏🌹 https://t.co/dyElqFMtwK,4
Aman beraktivitas dengan protokol kesehatan  Ayo patuhi protokol kesehatan dimanapun berada untuk meminimalisir penyebaran Covid-19.  #Covid-19 https://t.co/Np5upRCFf4,4
"Buat PKP longgar sana sini macam mana kes nak turun.  Lepas tu buat pulak Darurat nak lawan Covid-19, tapi kesannya mencanak naik lebih 5000 kes sehari.  #PNgagal https://t.co/SmODDGm6Li",4
"@amalinne11 Untuk pengetahuan, sebilik ada 4 org pelajar, dan mereka perlu berkongsi tandas dengan 4x(bil bilik) yang berada di sesebuah aras. No cod for food to your room. Kena turun ke cafe juga which is crowded in afternoon. In short, the risk of getting covid at college is high.",3
"@DrDzul  berkata, langkah ini membolehkan proses ujian, pengesanan kontak, isolasi, kuarantin, rawatan serta pemantauan dapat dilakukan dengan segera. #sinarharian #Covid19  https://t.co/io4xqCSg8i",3
"Awan ngene rame nemen, lak podo ae nyebar covid e? Virus nyebar gak ngurus jam lho, jam malam gak efektif koyok e @PemkotMalang https://t.co/u85Q2TtK2r",3
"Pemkot Surabaya berencana menambah lahan pemakaman baru. Ini menyusul makam khusus pasien COVID-19 di TPU Keputih dan Babat Jerawat, nyaris penuh. #Surabaya https://t.co/t2XcmHnvjs",3
Surat kebenaran edar vaksin belum keluar lagi. https://t.co/GeeyatxnQt,3
"Virus Nipah memang sudah ada di Malaysia, dari tahun 1999. Tapi apa salahnya kita lebih waspada, karena resiko kematian-nya pun jauh lebih bahaya dari Covid-19.   Mari terapkan lebih ketat ProKes 3M sesuai anjuran Kemenkes sambil menunggu giliran vaksin.  https://t.co/AJeRdAMBy1",3
"Masa baru rampas kuasa dulu PN tumpang kejayaan PH, benteras covid. Yuddin dan kabinet dapur dia gegar konon berjaya. Nama dia pun naik. Kononnya kalau pru pun boleh menang.   Hah.. sekarang dah goyang. Dharurat 10 tahun sbb takut pru. Kah kah kah @MuhyiddinYassin @AzminAli",3
𝙋𝙤𝙨 𝙄𝙣𝙙𝙤𝙣𝙚𝙨𝙞𝙖 𝘿𝙞𝙨𝙩𝙧𝙞𝙗𝙪𝙨𝙞𝙠𝙖𝙣 𝙑𝙖𝙠𝙨𝙞𝙣 𝘾𝙊𝙑𝙄𝘿-19 𝙙𝙞 𝙒𝙞𝙡𝙖𝙮𝙖𝙝 𝙈𝙖𝙡𝙪𝙠𝙪 𝙙𝙖𝙣 𝙉𝙏𝙏  PT Pos Indonesia (Persero) diberikan kepercayaan oleh satuan tugas penanganan COVID-19 provinsi Maluku dan provinsi Nusa Tenggara Timur. https://t.co/3q16rORPwg,3
Mendagri Tito Karnavian mengusulkan dana insentif daerah (DID) kalau ada daerah-daerah yg di anggap berprestasi dalam program vaksinasi covid. @jokowi @kemendagri https://t.co/ATF461DzpO,3
Mendagri Usul Dana Insentif Diberikan ke Daerah yang Berprestasi dalam Vaksinasi Covid-19  (Mendagri) Tito Karnavian mengusulkan agar dana insentif daerah (DID) diberikan untuk pemerintah daerah (pemda) yang berprestasi dalam program vaksinasi Covid-19.  https://t.co/GVq7S1OONH,3
KERJASAMA Antara Pemerintah Daerah &amp; Pusat Sangat Penting Dan Di Butuhkan Saat Ini.   Untuk Apa  ?  Agar Program Vaksinasi Nasional Bisa Sukses . Dan Bersama Kita Bisa Putus Mata Rantai Penularan Covid -19  4M &amp; Patuh Prokes Adalah 🔑  !  @kemendagri https://t.co/jngMaWpZYy,3
"Menunggu @novelbaswedan mundur dari @KPK_RI agar KPK adil, mentang mentang @aniesbaswedan saudaranya dilindungi mati matian. Berharap @KPK_RI jujur dan adil https://t.co/AgDf8avDlW",3
"Pak, nanti malam sampeyan ndukung siapa, arsenal atau emyu ? Kalau saya ndukung Arsenal biar imun naik.. 😎 https://t.co/h2ACL2AONH",3
Utamakan keselamatan guru ketika bertugas. Semalam  jangkitan covid sudah melepasi angka 5k. https://t.co/RwvLt78hou,3
"Polres Lumajang bersama Kodim 0821 Lumajang dan Pemkab Lumajang melaksanakan Operasi Yustisi Peningkatan Disiplin Protokol Kesehatan sesuai Inpres nomor 6 tahun 2020 guna cegah penyebaran Covid 19 di wilayah Kabupaten Lumajang, Jumat tanggal 29 Januari 2021 pukul 09.00 Wib https://t.co/jEYRGk3aS2",3
Inggris tawari Indonesia berkolaborasi melacak varian baru COVID https://t.co/kA9F1AzJyn,3
"Menurut @kemendagri ,dengan pemberian DID ini bisa menimbulkan iklim yang kompetitif terutama untuk mempercepat proses vaksinasi C0vid-19. @jokowi  https://t.co/Sgf7RFTZSm",2
Kenakan masker😷 tutup mulut dan hidung kalian untuk mencegah penularan dan penyebaran Covid!,2
"China Gunakan Swab Anal untuk Deteksi COVID-19, Efektifkah?: Melihat efektivitas swab anal untuk deteksi COVID-19. https://t.co/GbL5hsV3o4",2
"""Saya kira sangat bagus sekali karena bisa menimbulkan iklim yang kompetitif, di mana daerah yang vaksinasi cepat ditampilkan dan mungkin ada juga daerah yang vaksinasinya lamban, 10 terlamban juga ditampilkan,"" kata Tito. @kemendagri @jokowi   https://t.co/Sgf7RFTZSm",2
Siang ini dapat info kalo pasien covid berat akhirnya swab evaluasinya negatif 😍. Akhirnya setelah 1 bulan lebih berjuang bersama. Dari dia yang megap-megap sampai akhirnya sekarang bisa makan sambil ketawa-ketawa. Jadi terharu 🥺,2
"Lokasinya di bekasi ya, disisi lain pasti banyak juga yang mengalami seperti beliau karena dampak dari Covid 19, sekalian biar lebih bermanfaat kalau ada informasi Loker bisa komentar aja di thread ini siapa tau ada yang lagi cari kerjaan juga, semoga semua dimudahkan rezekinya",2
"10.10 Sat Lantas Jakbar bersama TNI, Satpol PP, dan Dishub melaksanakan Ops Yustisi dalam pencegahan penyebaran Covid-19 di Traffic Light Cengkareng Jakbar. https://t.co/eGwWcmUdoP",2
Mendagri Usul Dana Insentif Diberikan ke Daerah yang Berprestasi dalam Vaksinasi Covid-19 . @kemendagri 4M &amp; Patuh Prokes Adalah🔑   https://t.co/LTuiPCJuxf,2
Vietnam sempat berhasil menghentikan penularan Covid-19 dengan nihil kasus. https://t.co/UB4y9sfGVn,2
Menteri Dalam Negeri Tito Karnavian mengusulkan agar dana insentif daerah (DID) diberikan untuk pemerintah daerah (pemda) yang berprestasi dalam program vaksinasi Covid-19.   @kemendagri  https://t.co/cexx6cSpgk,2
Bupati Tangerang Kritisi Pernyataan Wagub DKI Soal Okupansi RS Covid-19 di Jakarta https://t.co/JhBlL4UffJ,2
"Saat ini, Indonesia memiliki 30 ribu vaksinator di 10 ribu puskesmas dan 3 ribu rumah sakit. Maka dari itu, Presiden @jokowi menargetkan paling tidak dalam satu hari vaksinasi dapat dilakukan pada 900 ribu hingga 1 juta orang.  (https://t.co/pqH1G5oSzS) https://t.co/3ll72DznxR",2
"Nutrisi Penting Untuk Imunitas Si Kecil. Mengingat wabah Coronavirus (COVID-19) yang terjadi saat ini, kebutuhan untuk memperkuat sistem imunitas si kecil menjadi lebih penting dari biasanya.  https://t.co/eyLOSnLjb2",2
jokowi malah minta wakaf.... https://t.co/yvOLiDOPgN,2
anjir...bener banget ini..😅 https://t.co/mGLqqlq3in,2
Bangladesh itu negara miskin tapi otaknya tidak miskin. https://t.co/7hCWwHJjbF,2
"Mantap, Mendagri Tito Karnavian mengusulkan agar dana insentif daerah diberikan untuk pemda yang berprestasi dalam program vaksinasi Covid-19. @jokowi @kemendagri https://t.co/tLvpLNrnTA",2
Tolong dengarkan nih wahai para buzzer macam lu Abu Janda https://t.co/USfDQ83Up6,2
"""Ujan berkelir"" kata orang Betawi.... 😂😂😂 https://t.co/1pexnkyeEY",2
PT Pos Indonesia (Persero) diberikan kepercayaan oleh Satuan Tugas Penanganan Covid-19 Provinsi Maluku dan Provinsi Nusa Tenggara Timur untuk melakukan distribusi vaksin Covid-19 Tahap Pertama. https://t.co/cAq4SPP8iJ,2
"@BungAji krn covid tembus sejuta orang , saya mohon WAKAF yg sebesar besarnya dr seluruh kaum muslimin ...  😂😂😂😂😂 bebek mbalelo",2
"Aku malas nak tweet pasal isu semasa sangat sebab banyak isu semasa pasal anak (aku belum ada anak), pasal muzik (aku tak ada band), pasal politik (aku tak ada parti politik), pasal bola (aku tak ada kelab bolasepak) dan Covid (aku tak pernah positive). 🤷🏻‍♂️",2
Di pakai maskernga yaa Mas untuk mencegah dari penyebaran Covid-19. . . . #ProkesUntukKitaSemua #sukseskan3mbersamapolri #polriajakadaptasikebiasaanbaru #polrisukseskan3m #polrestabandungmantap  #polsekcileunyirestabdg  #polsubsektorcilengkrang  #polrestabandung  #polsekcileunyi https://t.co/RajhJKCnPm,2
"Novel dan Anies sama2 menggunakan Baswedan dibelakang namanya. Meskipun demikian, dlm menegakkan kejujuran, kebenaran dn keadilan tidak memandang latarbelakang ssorg. Ini hrs dibuktikan secara nyata. Karenanya, KPK sebaiknya bergerak cepat ketika ada indikasi kerugian negara. https://t.co/DYZ9vUDRhR",1
"@tirta_hudhi Seneng aku langsung disamperin.. Itu kon ngaku RS ngendi coba.. Itu padahal bukan ttd positif covid, tapi ttd buat pelaksanaan perawatannya sesuai protokol pasien covid.. Indonesia darurat literasi tenan..",1
Waspada covid-19 belum berakhir ayo patuhi protokol 5 m menuju Indonesia bebas covid 19 ayo dukung vaksin  #BaktiSosialPolri #AksiKemanusiaanPolri #PelayananPrimaPolri @multimedia.humaspolri  @poldababel  @_polisipromoter  @polisi_indonesia  #kapolresbangkabarat https://t.co/NNpmGLKOga,1
Menkes Budi Gunadi Pasang Target 70 Persen Masyarakat Divaksin Covid-19 dalam Waktu 12 Bulan https://t.co/VjfIHuRBLM,1
"@amalinne11 @maszlee @KemPendidikan Ini bukan isu dapat ""membiasakan"" diri atau tidak. Ini isu pihak atasan yang tidak telus serta langkah pembendungan covid-19 yang tidak konsisten dan efisien.",1
@cokelatparcel Dah la semua body ada risiko kena Covid,1
"Satgas penanganan Covid-19, SE No.5 thn 2021 ttg Perpanjangan Ketentuan Perjalanan Org Dalam Negeri Dalam Masa Pandemi Covid-19 &amp; SE No.11 thn 2021 ttg Pemberlakuan Petunjuk Pelaksanaan Perjalanan Org Dengan Transportasi Perkeretaapian Dalam Masa Pandemi Covid-19 oleh Kemenhub https://t.co/sJ6yi8DTaA",1
Gus Yaqut juga memberikan apresiasi kepada sejumlah ormas keagamaan Budha yang peduli dengan kondisi bangsa di tengah pandemi Covid-19 lewat berbagai kegiatan bakti sosial. https://t.co/iwLZkXInbH,1
"ngikutin terus info dari @humas_jogja tentang covid, kayaknya dari AWAL januari sampe sekarang udah hampir Februari, peningkatan kasus per hari selalu di kisaran 300 dan tembus 400 di beberapa hari terakhir ini.  padahal cafe2 tutup jam 7 malem udah berlaku dari tanggal 11  hm 🤔",1
"Program saringan COVID-19 bagi pekerja asing akan diperluaskan ke seluruh negara bermula 2 Februari ini - Menteri Sumber Manusia, Datuk Seri M. Saravanan https://t.co/CwxrecyGNo",1
"Kes Covid dekat Malaysia ni contoh tepat untuk ""celebrate terlalu awal"".",1
"Walaupun fotonya ga high-def plus agak buram krn diambil dari balik kaca lab COVID-19, Semoga tdk mengurangi esensi syukur dan terima kasih kpd LPDP dan negara atas kesempatannya menjadi alumni/awardee LPDP.   #TerusBergerakMemberiDampak #DiriUntukNegeri #9TahunLPDP https://t.co/3BAiBCpSGg",1
"#BHnasional Kesemua mereka sudah diarahkan kuarantin, diasingkan untuk rawatan lanjut  https://t.co/AGJkmcHrdX  #coronavirus #covid19",1
@AnugrahFitrah1 Karena wajib oleh prokes covid bang  #TangkapPermadiArya   #TangkapPermadiArya https://t.co/UQVkodr2at,1
"Pandemi Covid-19 berdampak pada bertambahnya jumlah penduduk miskin di Kabupaten Bogor yang bertambah 2,6 persen.   #infobogor #beritabogor #kabupatenbogor #welovebogor https://t.co/h90bE82G1p",1
"Otoritas memangkas ukuran makam demi menampung lebih banyak jenazah pasien Covid-19, yang kian hari kian meningkat jumlahnya. https://t.co/R3HeqPqUmp",1
Didik Dukung Pemberian Vaksin Bagi Relawan Nakes dan Nakes Non Medis.  Relawan Nakes dan Nakes Non Medis ini juga menjadi perhatian. Karena mereka sebagai garda terdepan berhadapan langsung dengan pasien Virus Covid-19.  #PDIPerjuangan #SolidBergerak https://t.co/800wOP9WbQ,1
"Kasus Covid-19 semakin hari semakin meningkat. Penyebarannya bisa terjadi klaster tertentu.  Hingga kini, terdapat 1.630 kasus akibat klaster dekat. Kira-kira, klaster mana saja, ya?  Ayo, kita cari tahu lewat infografik atau kunjungi https://t.co/QAZL7XC9A4  #JakartaSmartCity https://t.co/HkO05jvEPl",1
Usul Bahas:  Demi mengurangkan penyebaran wabak Covid-19 di Malaysia: Pembawa dan Mangsa WAJAR dikenakan kompaun dan membayar kos pengubatan.,1
"Sama kayak si wulan, ngga percaya covid, tapi suami meninggal bulan lalu gara gara ini. Sedih inget anak anaknya aja sih 😌 https://t.co/bwOO0yEBsq",1
Vaksinator yang disiapkan merupakan anggota TNI yang telah dilatih baik secara daring maupun tatap muka. https://t.co/Ar5nDm1vn0,1
Pemerintah Targetkan Vaksinasi Covid-19 Selesai Sebelum Akhir Tahun 2021 https://t.co/Pl0iwWqJhc #VaksinBelaNegara #Photo,1
"2. Acara santunan kali ini dibagi 2 tempat untuk menghindari kerumunan. sebagian penerima di rumah pak Kyai, sebagian lagi penerima di arahkan di masjid terdekat

Doa sy smg warga kelurahan Kota Bambu Selatan sehat2 selalu #JumatBerkah https://t.co/O0sZ8DwJGd",1
"Menurut Sri Mulyani anggaran vaksin covid-19 yang diestimasikan pemerintah sebelumnya sebesar Rp73,3 triliun berpotensi mengalami penambahan seiring dengan dinamika yang terjadi saat ini.   https://t.co/9XdmymETiG",1
Bukan Dokter kok ikut2an urus Covid?? Kenapa Pak?? https://t.co/BlVYObmcii,1
"#BHdunia Sehingga kini China merekodkan 4,636 kes kematian sejak pertama COVID-19 dikesan di negara itu akhir 2019  https://t.co/EdVnbQfRUL  #coronavirus #covid19",1
Semoga semua frontliners yang positif Covid-19 di Terengganu segera sembuh. Berita ini memang mengejutkan. Pihak keluarga semoga banyak bersabar dan orang ramai teruslah menjaga SOP #COVID19 https://t.co/KoxU7niBJY,1
Solution nak turunkan kes covid = ambik lebih duit rakyat https://t.co/ahW55dWzij,1
"Ika, Perawat yang Jadi Pengemudi Ambulans Demi Bantu Tanggulangi Covid-19 https://t.co/vNCXVMDolM https://t.co/zoccrZ6eeq",1
"@amalinne11 @hafeezroyalty @maszlee @KemPendidikan Puan, sekarang ni kita tengah bercakap tentang pelajar matrikulasi. Pelajar tak suruh tutup matrik pun, diorang cuma nak pihak atasan jujur dgn bilangan pelajar yg dpt covid, kat mana lokasi terakhir, diorang duduk blok asrama mana. cont",1
"Program Saringan COVID-19 bagi Pekerja Asing akan diperluaskan skop saringannya kepada semua pekerja asing di seluruh negara, bermula 2 Februari 2021. https://t.co/JlOrZ0bRCg",1
"@XXXbyefelicia Sejak covid &amp; semua dah kena PDPR, kena kuarantin, dia ni kembali menjadi sanjungan geng prepper, geng percaya teori konspirasi sebab kononnya dia model yang dah lama keluar dari sistem pendidikan, sistem dunia bla bla bla. Hahahahhaa.",1
"PSG pada Jumat waktu setempat mengumumkan kedua pemain mereka, Marco Verratti dan Abdou Diallo, positif terjangkit Covid-19. #TempoSport https://t.co/cLNKQIr61z",1
"Barakallaah yai ubed , mugi sedoyo tansah pinaringan sehat lan selamet https://t.co/HdBJKJomlA",1
Hahah debornya aku nk kena swap covid . 1. Kalau swap covid kena kuarantin ke?  2. Kalau swap covid akan dpt gelang gak ke ?   Sy swap covid atas urusan kerja.. bukan contact rapat bukan tmpt keje kena covid ..,1
Smoga lindungan Tuhan selalu menyertai.. https://t.co/JvCS6dAjIE,1
Mohon waqaf lahir dan batin ~ negeri wakanda https://t.co/uzPIzTsvbl,1
"Dengan normah baharom tidak dibenarkan dine in, katering kroni PEPSMEAR; Katering Acik Gourmet Malaya (KAGOM) tetap hidangkan makanan dengan konsep 'take &amp; go'  @XXXbyefelicia kembali sebagai Ketua Chef (season lepas false +ve covid) dan dibantu Acik catu makanan, @SenahDebab https://t.co/F5KZI2hAqx",1
@Relawananies @Syifazzzzzzz Jangan tanya ke Anies dong. Jadi tau deh langkah2 Anies. Coba tanya Jokowi aja. Bagaimana implementasi dia thdp Covid ini.,1
Om @jokowi harus ny gini bukan nya malah minta waqaf.   Hhhhhaaaa.. Betul gak min @PDI_Perjuangan https://t.co/E1IVTB6QNa,1
"Orang yang bermoral dan ber-etika paham akan kesalahan dan kekurangan. Itulah yang dilakukan PM Jepang

Beda di wakanda, sudah jelas gagal, tidak mengakui kegagalan malah uang wakaf mau diambil juga untuk nutupi kegagalan

https://t.co/83zSp2ceO9",1
"Gaeessss... Mau tanya, emang di Indonesia sdh. Hari raya kah? #Ciuus !

@PerekonomianRI https://t.co/eLV55BKyey https://t.co/XyaoewvXdw",1
@kemendagri Iyes  👍 Mendagri Usul Beri Dana Insentif Bagi Pemda Berprestasi Program Vaksinasi Covid-19.  4M &amp; Patuh Prokes Adalah 🔑  !   https://t.co/bYaGzY6VVR,1
Ngimpi... https://t.co/njovGChMti,1
Bismillah... https://t.co/RehR4N5BmF,1
Ilustrasi aliran dana potongan SPP untuk mahasiswa sebuah kampus dari sebuah Yayasan ***************** https://t.co/mW2nWLn4P9,1
Berani???? https://t.co/R1beVZszhL,1
Para petinggi Indonesia juga sudah minta wakaf https://t.co/WYhpGzNSoG,1
HXHXHX😀SESAMA BASWEDAN DILARANG SALING MENDAHULUI https://t.co/56BA9qdNRU,1
Sehat selalu pak @jokowi .. Amin https://t.co/cHWX4frhjj,1
Sesama Baswedan dilarang saling menikung https://t.co/bd6gKEBHwY,1
"Pejabat seperti ini inilah yang layak jadi presiden, paham masalah bangsa, tau skala prioritas. https://t.co/EG9KnTDWbr",1
"Rasakan Satu Gejala, Curigai Sebagai COVID-19 https://t.co/9txvFQxWKK",1
Gubernur dan Forkopimda Aceh Disuntik Dosis Kedua Vaksin Covid-19 https://t.co/Rie53dA2ah,1
@def_reffain Siap disampaikan kpd ayahanda @fahmiidris1 🙏 salam hormat untuk seluruh keluarga ya...,1
"@f4kr0ls00d Td tanya dgn seorang petugas kesihatan, apa ubat yg mereka beri kpd org yg dah kena covid ni, dia ckp xde ubat cuma suruh quarentine, kecuali yg ada penyakit² serius spt jantung, kencing manis, asma mereka beri ubat² utk penyakit² tu je, covid ni xlah bahaya sgt utk rakyat,",1
OmayGod!! 10 TRILIUN cuma untuk angkat bendera putih. 😷 #AniesBobroknyaKetahuan #COVID19indonesia https://t.co/EHsIYLFLl3 https://t.co/bG6AC3dnpY,1
"Ketua KPK kan FIRLY bukannya NOVEL, penyidik yg lain kan banyak judulnya mau gak tangani kasus Anies B. 

# BUBARKAN KPK itu yg terbaik. https://t.co/zyVEBBS5SU",1
"Angka Covid Lewati 1 Juta, Pemerintah Diminta Lebih Serius https://t.co/hr4wUJIL4q",1
"Menterinya, Datuk Seri M. Saravanan berkata, ia susulan pelaksanaan semula Perintah Kawalan Pergerakan (PKP) pada 13 Januari lalu berikutan peningkatan mendadak wabak itu. https://t.co/kaKoPacNb9",1
"Salut, beda banget ama negara wakanda https://t.co/1HkbGt2zz3",1
PERKESO bersedia untuk membantu semua majikan dan pekerja yang terjejas. https://t.co/mFqjx7e51l,1
Sial aku dah 23. Dalam usia ni patut have fun banyak. Tapi sebab covid semua jadi huru hara.,1
Orang lansia di Indonesia lebih sulit dipantau dibandingkan dengan lansia di Amerika Serikat dan Israel. Penyakit penyerta menjadi kendala kaum lansia mendapatkan vaksin Covid-19. #ingatpesanibu #cucitangan #pakaimasker #jagajarak  https://t.co/uSW5chkfxJ,1
"Yoiiii..
Pempus yang ngeyel dari awal https://t.co/Zc2m1QcmY9",1
"Mendagri usul DID diberikan ke pemda berprestasi program vaksinasi.  Ayo, para pimpinan daerah,bersama pemerintah pusat kita perangi penyebaran Covid agar segera berakhir.  @kemendagri  Patuhi prokes  👌   https://t.co/pYao9u1jKd",1
"Program saringan Covid-19 pekerja asing seluruh negara mulai Selasa, kata menteri https://t.co/djCgP6312Z",1
@YudhiHariWb Yaampun Warung Sobat 😭😭😭,0
Penerapan prokes  Personil Polsek Cikarang melaksanakan penerapan protokol kesehatan di Swalayan Cikarang menyampaikan himbauan prokes kepada warga masyarakat sebagai langkah upaya pencegahan covid 19  penerapan pembatasan kegiatan masyarakat(30/1/21) https://t.co/FDot3uP4aE,0
"Di awal pandemi saya lihat di beberapa daerah sudah menerapkan karantina terbatas di lingkungan masing-masing. Saya kira dengan sejumlah perbaikan, karantina terbatas bisa menekan jumlah kasus positif Covid-19, https://t.co/gJHk079rTL  @NasDem https://t.co/YhTlF1Z4Wc",0
Wkwkwkw https://t.co/H0zYn7l4Tq,0
"@YudhiHariWb @cizzyyuzu saya bantu share ya mas, kali aja mutual ku lebih tau info2 tentang loker. salam ya! maaf, cuma bisa bantu rt aja hehe",0
Perluasan skop itu susulan pelaksanaan semula PKP pada 13 Januari serta pengumuman bantuan Permal pada 18 Januari. #sinarharian #Covid19  https://t.co/OwdObEExnj,0
Harus bersyukur seperti kata pak presiden apa harus merenung seperti kata pak mentri https://t.co/SWBYLkbb1Y,0
"@ridwankamil Assalamualaikum kang. Aku mau nanya, untuk yang positive covid setelah test dari puskesmas walau ga ada gejala, apa ga ada dibekalin obat atau vitamin? Dan setelah isolasi apa ga ada test swab lagi dari puskesmas? @satgascovid19id @BimaAryaS @jokowi https://t.co/UDN17ImrVR",0
Tetangga gue sih ini wkwk kesel banget mana dia sblm + gamau pake masker kata nyokap hhh heran banget https://t.co/JDNdkbTkkG,0
biar ngerti dikira covid enteng2 doang.. itu konsekuensi nya kalo menyepelekan,0
Perebutan pasokan vaksin Covid  akan memengaruhi pemulihan ekonomi di setiap negara. https://t.co/hH0LJ3jkCB,0
"Sepupu ngabarin, klo nenek positif covid. Udah nahan hampir setahun ga main ke rumah nenek di Tangerang, dgn mksd biar aman. Tapi nyatanya covid ini memang menyerang siapa saja dan lewat apapun medianya. Lekas sehat nek, semoga bisa membangun imun &amp; jgn drop krena omongan orang.",0
*Polsek Firdaus* melaksanakan kegiatan Ops.Yustisi dan Pembagian Masker dalam rangka peningkatan disiplin dan penegakan hukum Protokol Kesehatan pencegahan penyebaran Virus Corona (Covid 19 ). https://t.co/bDcscQ4M1x,0
Negara besar tapi penanganan Covid kacau https://t.co/3ozW0QBwBh,0
Tak payah la buat spekulasi sangat pasal kisah covid Malaysia ni. Yang penting sekarang adalah macamana kita nak terus hidup dengan keadaan bangsat ni.,0
Obat covid madhaang sing wareg wkwk,0
Staff positif covid terus kena terminate. Sebab tak nak staff lain kena buat swab test. Pi kerja macam biasa siap suruh menipu kata budak positif tu tak pernah masuk office. Laki aku menghadap muka budak tu benda apa. Babi nya,0
"jokowi: Vaksinasi Covid-19 sudah kita mulai.  Di luar itu, yang paling penting adalah tetap disiplin menjalankan protokol kesehatan. https://t.co/SrYIIOmWR0",0
"dah setahun aku kahwin, aku dah start rasa tk selesa ni tk dpt provide bini aku rumah sendiri, insya Allah project lepas pkp ni jd boleh la ada rumah sendiri, moga moga covid ni slow sikit, bru la semua project tergendala boleh jalan, amin 🤲🏻 semoga urusan aku dipermudahkan.",0
Khofifah sembuh dari COVID-19 hasil tes usap PCR https://t.co/0dxZ8mOQMB,0
Personil Polsek Rengasdengklok bersama Forkopimcam Kec Rengasdengklok kab karawang Melaksanakan Operasi Yustisi penegakan disiplin untuk mematuhi protokol kesehatan dalam rangka penerapan Pemberlakukan Pembatasan Kegiatan Masyarakat (PPKM) untuk mencegah penyebaran Covid-19 . . https://t.co/DhF2RvVh8e,0
"Bayangkan 50 tahun akan dtg, buku sejarah anak-anak kita ade menceritakan peristiwa Covid-19. Masa tu aku harap sangat nama Ustaz Ebit Lew banyak tertulis dalam buku tu atas sbb bantuan beliau ❤️",0
"Taufan Pawe Positif Covid, Musda Golkar Selayar Ditunda https://t.co/6S02Cu3Mjz",0
"Wali Kota Bogor Bima Arya sempat positif Covid-19, bagaimana kisah perjuangannya untuk sembuh? Monica Soraya mengadopsi 3 bayi sekaligus hingga dijuluki crazy rich Jakarta. Saksikan Saatnya Perempuan Bicara, Sabtu 29 Januari 2021 jam 20.00 WIB di tvOne #SaatnyaPerempuanBicara https://t.co/fnR3v0I8yT",0
Ada ya orang yg masih bilang kalau covid itu ga ada dan terlalu dilebih lebihkan ke orang yang baru aja kehilangan keluarga nya karena covid. Dimana nuraninya,0
"Bhabinkamtibmas Polsek Firdaus, Aiptu Erwinsyah Putra bersama personil Polres Sergai, Bripka H. Siagian, melaksanakan pam di tempat penyimpanan Vaksin Covid 19 di gudang Farmasi Kantor Dinas Kesehatan Kab. Sergai. https://t.co/E94dPUi4LE",0
Lalu pantaskah kita bersyukur? https://t.co/CaatPglGru,0
Covid meningkat... Jomblo juga meningkat...... https://t.co/ilvAjK8lsD,0
Ini katanya yg berhasil mengendalikan covid-19.....senyumin ajah https://t.co/iM8KPcxeKq,0
Kolam isinya sdh ga bergejolak https://t.co/Ky0pe3YPuI,0
"@fahiraidris @DPDRI @DKIJakarta @republikaonline @kumparan @aniesbaswedan @CNNIndonesia @kompascom @rmol_id @muhammadhamim salut bu @fahiraidris , smoga Allah lipatgandakan pahala n keberkahan utk ibu dan keluarga..aamiin ya rabbal 'aalamiin",0
@fahrifary @jaaaaakk Pak rt keknya uda nunggu banget momentum itu 🤣,0
Dulu ada sesumbar bisa nanganin covid dlm 2 bln. https://t.co/yZq94vTAt1,0
Prestasi yg sangat membanggakan https://t.co/CLTQZO6FXB,0
miris sih 😌 https://t.co/vDkX4j8DfY,0
"Tulah, so far ni la the highest new cases of covid-19 record kat malaysia now 5k ni dah masuk level yang serious and bukan main-main lagi Covid-19, you got no chill lah 😾 https://t.co/5e4J2JeYi9",0
